SegmentInL1	SegmentInL2
Et souffrir ? Il faudra souffrir, sentir que la douleur monte, qu'elle est arrivée au point où l'on ne peut plus la supporter ; qu'il faudrait qu'elle s'arrête, mais qu'elle continue pourtant et monte encore, comme une voix aiguë... Oh ! je ne peux pas, je ne peux pas...	And the pain? We'd have to feel it getting worse and worse until it gets to the point where you can't stand it anymore, it would have to stop, but it wouldn't, it would just get worse, like a voice going higher and higher... I can't do it! I can't!
ANTIGONE	ANTIGONE
Comme tu as bien tout pensé !	You've really thought about this.
ISMENE	ISMENE
Toute la nuit. Pas toi ?	All night. You didn't?
ANTIGONE	ANTIGONE
Si, bien sûr.	Of course I did.
ISMENE	ISMENE
Moi, tu sais, je ne suis pas très courageuse.	You know me, I'm not very brave.
ANTIGONE,	ANTIGONE,
doucement.	softly.
Moi non plus. Mais qu'est-ce que cela fait ?	Me neither. But what difference does that make?
Il y a un silence, Ismène demande soudain :	A silence, then Ismene suddenly asks:
ISMENE	ISMENE
Tu n'as donc pas envie de vivre, toi ?	So you don't really want to live then?
ANTIGONE,	ANTIGONE,
murmure.	in a murmur
Pas envie de vivre...	Don't really want to live...
(Et plus doucement encore, si c'est possible.)	(And even more softly, if it's possible.)
Qui se levait la première, le matin, rien que pour sentir l'air froid sur sa peau nue ?	Who got up first in the morning, just so that she could feel the cool air on her bare skin?
Qui se couchait la dernière, seulement quand elle n'en pouvait plus de fatigue, pour vivre encore un peu plus la nuit ?	Who went to bed last, only when she was so tired she couldn't stay awake any more, because she wanted to see a bit more of the night?
Qui pleurait déjà toute petite, en pensant qu'il y avait tant de petites bêtes, tant de brins d'herbe dans le près et qu'on ne pouvait pas tous les prendre ?	Who used to cry sometimes, when she was just a little girl, because she couldn't stop thinking there were so many animals in the fields, so many blades of grass that she would never have time to see all of them?
ISMENE,	ISMENE
a un élan soudain vers elle.	in a sudden burst of tenderness
Ma petite sœur...	My little sister...
ANTIGONE,	ANTIGONE,
se redresse et crie.	raises herself up and shouts.
Ah, non ! Laisse-moi! Ne me caresse pas ! Ne nous mettons pas à pleurnicher ensemble, maintenant.	No! Leave me alone! Don't you go cuddling me! Let's not start sniffling together now.
Tu as bien réfléchi, tu dis ? Tu penses que toute la ville hurlante contre toi, tu penses que la douleur et la peur de mourir c'est assez ?	You've thought about it carefully, have you? You think that the whole town screaming at you, you think that pain and being scared of dying is enough?
ISMENE,	ISMENE
baisse la tête.	lowers her head.
Oui.	Yes.
ANTIGONE	ANTIGONE
Sers-toi de ces prétextes.	Well, if you figure those are good excuses.
ISMENE,	ISMENE
se jette contre elle.	casts herself on her
Antigone ! Je t'en supplie! C'est bon pour les hommes de croire aux idées et de mourir pour elles. Toi, tu es une fille.	Antigone! Please, I'm begging you! It's alright for men to believe in ideas and die for them. You're a girl.
ANTIGONE,	ANTIGONE,
les dents serrées.	through gritted teeth.
Une fille, oui. Ai-je assez pleuré d'être une fille !	A girl, that's right. The number of times I've cried because I was born a girl!
ISMENE	ISMENE
Ton bonheur est là devant toi et tu n'as qu'à le prendre. Tu es fiancée, tu es jeune, tu es belle...	You've got a happy life in front of you, you just need to take it. You're engaged, you're young, you're beautiful...
ANTIGONE,	ANTIGONE,
sourdement.	dully
Non, je ne suis pas belle.	No, I'm not beautiful.
ISMENE	ISMENE
Pas belle comme nous, mais autrement. Tu sais bien que c'est sur toi que se retournent les petits voyous dans la rue ; que c'est toi que les petites filles regardent passer, soudain muettes, sans pouvoir te quitter des yeux jusqu'à ce que tu aies tourné le coin.	Not beautiful like us, but in another way. You know it's you that makes the little punks turn their heads when you walk by them; and the girls watch you and suddenly they don't have a thing to say, they just stare until you've gone round the corner.
ANTIGONE,	ANTIGONE,
a un imperceptible sourire.	with an imperceptible smile.
Des voyous, des petites filles...	The little punks, the girls...
ISMENE,	ISMENE
après un temps.	after a while
Et Hémon, Antigone ?	And Haemon, Antigone?
ANTIGONE,	ANTIGONE,
fermée	impenetrable
Je parlerai tout à l'heure à Hémon: Hémon sera tout à l'heure une affaire réglée.	I'll talk to Haemon soon: he's next on my list.
ISMENE	ISMENE
Tu es folle.	You're crazy.
ANTIGONE,	ANTIGONE,
sourit.	smiles
Tu m'as toujours dit que j'étais folle, pour tout, depuis toujours.	You've always said I'm crazy, about everything, since forever.
Va te recoucher, Ismène... Il fait jour maintenant, tu vois, et, de toute façon, je ne pourrai rien faire.	Go back to bed, Ismene... You can see it's day now, so anyway I can't do anything.
Mon frère mort est maintenant entouré d'une garde exactement comme s'il avait réussi à se faire roi. Va te recoucher. Tu es toute pâle de fatigue.	My dead brother is surrounded by an armed guard just as though he'd managed to make himself king. Go back to bed. You're absolutely pale.
ISMENE	ISMENE
Et toi ?	And you?
ANTIGONE	ANTIGONE
Je n'ai pas envie de dormir... Mais je te promets que je ne bougerai pas d'ici avant ton réveil.	I don't want to sleep... But I promise I won't move from here before you wake up.
Nourrice va m'apporter à manger. Va dormir encore. Le soleil se lève seulement. Tu as les yeux tout petits de sommeil. Va...	Nurse will bring me something to eat. Get some sleep. The sun's only just risen. Your eyes are all scrunched up, you're so tired. Go now.
ISMENE	ISMENE
Je te convaincrai, n'est-ce pas ? Je te convaincrai ? Tu me laisseras te parler encore ?	I'll convince you, won't I? I will convince you? You'll let me talk to you again?
ANTIGONE,	ANTIGONE,
un peu lasse.	A bit tired.
Je te laisserai me parler, oui. Je vous laisserai tous me parler.	I'll let you talk to me, yes. I'll let you all talk to me.
Va dormir maintenant, je t'en prie. Tu serais moins belle demain.	Please go and sleep now. You'll be less beautiful tomorrow.
(Elle la regarde sortir avec un petit sourire triste, puis elle tombe soudain lasse sur une chaise.)	(She watches her leave with a sad little smile, then suddenly slumps exhausted on a chair.)
Pauvre Ismène !	Poor Ismene!
TABLEAU V : ANTIGONE, LA NOURRICE	SCENE V: ANTIGONE, THE NURSE
LA NOURRICE	THE NURSE
entre	enters
Tiens, te voilà un bon café et des tartines, mon pigeon. Mange.	Here you are sweetheart, a nice cup of coffee and some toast. Have something.
ANTIGONE	ANTIGONE
Je n'ai pas très faim, nourrice.	I'm not very hungry, nurse.
LA NOURRICE	THE NURSE
Je te les ai grillées moi-même et beurrées comme tu les aimes.	I toasted them myself and buttered them just the way you like them.
ANTIGONE	ANTIGONE
Tu es gentille, nounou. Je vais seulement boire un peu.	You're so kind, nurse. I'll just have a little coffee.
LA NOURRICE	THE NURSE
Où as-tu mal ?	Where does it hurt?
ANTIGONE	ANTIGONE
Nulle part, nounou. Mais fais-moi tout de même bien chaud comme lorsque j'étais malade...	It's not hurting anywhere, nurse. But please warm me up like you did when I was sick...
Nounou plus forte que la fièvre, nounou plus forte que le cauchemar, plus forte que l'ombre de l'armoire qui ricane et se transforme d'heure en heure sur le mur, plus forte que les mille insectes du silence qui rongent quelque chose, quelque part dans la nuit, plus forte que la nuit elle-même avec son hululement de folle qu'on n'entend pas ; nounou plus forte que la mort.	Nurse stronger than fever, nurse stronger than nightmares, stronger than the shadow of the wardrobe that stares at you from the wall and keeps changing, stronger than the thousand silent insects that keep gnawing away all night long, stronger than the night itself with its mad song you can't hear; nurse, stronger than death.
Donne-moi ta main comme lorsque tu restais à côté de mon lit.	Let me hold your hand like I did when you stayed next to my bed.
LA NOURRICE	THE NURSE
Qu'est-ce que tu as, ma petite colombe ?	What's wrong with you, sweetie?
ANTIGONE	ANTIGONE
Rien, nounou. Je suis seulement encore un peu petite pour tout cela. Mais il n'y a que toi qui dois le savoir.	Nothing, nurse. I'm just a bit little for all this. But no one except you needs to know.
LA NOURRICE	THE NURSE
Trop petite pour quoi, ma mésange ?	Too little for what, darling?
ANTIGONE	ANTIGONE
Pour rien, nounou. Et puis, tu es là. Je tiens ta bonne main rugueuse qui sauve de tout, toujours, je le sais bien.	For nothing, nurse. And now you're here. I'm holding that good rough hand of yours that always puts everything right, I know it does.
Peut-être qu'elle va me sauver encore. Tu es si puissante, nounou.	Maybe it will put things right for me this time too. You're so strong, nurse.
LA NOURRICE	THE NURSE
Qu'est-ce tu veux que je fasse, ma tourterelle ?	What do you want me to do, my little dovey?
ANTIGONE	ANTIGONE
Rien, nounou. Seulement ta main comme cela sur ma joue.	Nothing, nurse. Just hold your hand there like that against my cheek.
(Elle reste un moment les yeux fermés.)	(She stays there a moment with her eyes closed.)
Voilà, je n'ai plus peur. Ni du méchant ogre, ni du marchand de sable, ni de Taoutaou qui passe et emmène les enfants...	There we are, I'm not scared anymore. Not of the sandman, not of the wicked witch, not of the child-catcher...
(Un silence encore, elle continue d'un autre ton.)	(Another silence, then she continues in a different tone of voice.)
Nounou, tu sais, Douce, ma chienne...	Nurse, you know, Grace, my dog...
LA NOURRICE	THE NURSE
Oui.	Yes.
ANTIGONE	ANTIGONE
Tu vas me promettre que tu ne la gronderas plus jamais.	You have to promise me you won't tell her off any more.
LA NOURRICE	THE NURSE
Une bête qui salit tout avec ses pattes! Ça ne devrait pas entrer dans les maisons !	That thing that tracks in dirt everywhere with its stupid paws! You shouldn't even have it in the house!
ANTIGONE	ANTIGONE
Même si elle salit tout. Promets, nourrice.	Even if she gets everything dirty. Promise, nurse.
LA NOURRICE	THE NURSE
Alors il faudra que je la laisse tout abîmer sans rien dire ?	So I'm supposed to let her get everything filthy and not say a word?
ANTIGONE	ANTIGONE
Oui, nounou.	Yes nurse.
LA NOURRICE	THE NURSE
Ah ! ça serait un peu fort !	Oh, that's a bit much!
ANTIGONE	ANTIGONE
S'il te plaît, nounou. Tu l'aimes bien, Douce, avec sa bonne grosse tête.	Please nurse. You know you love Grace, with that big kind head of hers.
Et puis, au fond, tu aimes bien frotter aussi. Tu serais très malheureuse si tout restait propre toujours.	And really, you love tidying up too. You'd be very sad if everything always stayed clean and neat.
Alors je te le demande : ne la gronde pas.	So I'm asking you, please don't yell at her.
LA NOURRICE	THE NURSE
Et si elle pisse sur mes tapis ?	Even if she pees on my rugs?
ANTIGONE	ANTIGONE
Promets que tu ne la gronderas tout de même pas. Je t'en prie, dis, je t'en prie, nounou...	Promise you won't even yell at her then. I'm asking you, please nurse, please.
LA NOURRICE	THE NURSE
Tu profites de ce que tu câlines...	You can be so cuddly. And you know how to use it.
C'est bon. C'est bon. On essuiera sans rien dire. Tu me fais tourner en bourrique.	Okay. Okay. I'll clean up and I won't say anything. You can twist me round your little finger.
